gene	me2_fold	me2_fdr	me2_n_peaks	mc_diff	mc_q	mc_sig	hmc_diff	hmc_q	hmc_sig	chromatin_state	dmr_status
1110002E22Rik	-0.536657512686983	0.0396215937024587	2	-0.0115823910944359	0.0501820326846251	FALSE	0.00118158409637498	0.81632621455639	FALSE	Other	Not DMR
1110002J07Rik	-0.604068154744837	0.0254757474275051	7	NA	NA	NA	NA	NA	NA	NA	NA
1110019D14Rik	-0.963906740799325	0.000101834586744252	2	NA	NA	NA	NA	NA	NA	NA	NA
1110032F04Rik	0.634079128128109	0.020751380428408	1	-0.0286657822688701	0.296413225731403	FALSE	0.0193618785540773	0.304631770146633	FALSE	Repressed_Promoter	Not DMR
1190028D05Rik	0.652274969663035	0.0185831199372435	17	NA	NA	NA	NA	NA	NA	NA	NA
1500012K07Rik	0.590246640500048	0.0258307175250037	2	NA	NA	NA	NA	NA	NA	NA	NA
1600002D24Rik	-0.728325995422686	0.000718605004059662	1	NA	NA	NA	NA	NA	NA	NA	NA
1700001D01Rik	0.558593083211026	0.0251956129565512	1	NA	NA	NA	NA	NA	NA	NA	NA
1700001K23Rik	0.522877048272114	0.0456491342513559	2	NA	NA	NA	NA	NA	NA	NA	NA
1700003G18Rik	0.695489412048458	0.00832179641239763	1	NA	NA	NA	NA	NA	NA	NA	NA
1700009N14Rik	0.856931475845862	0.00149860838999139	2	0.0066300695165944	0.473782305422302	FALSE	-0.00511180042253491	0.423305052110852	FALSE	Other	Not DMR
1700010I14Rik	-0.528707937048865	0.0388240391774594	1	-0.0046202218339928	0.385232011644216	FALSE	-0.000810398831288611	0.841041385367791	FALSE	Other	Not DMR
1700010K23Rik	0.508576935526886	0.0471823378410727	8	NA	NA	NA	NA	NA	NA	NA	NA
1700012A03Rik	0.683075381410104	0.00482748614887468	7	-0.00333158547399615	0.815436099296437	FALSE	0.0310112797148558	1.18509337033749e-05	TRUE	Repressed_Promoter	hmC DMR only
1700012C14Rik	0.563298750063321	0.0272358900895648	2	NA	NA	NA	NA	NA	NA	NA	NA
1700012D01Rik	0.62590384360852	0.0219765629063849	1	NA	NA	NA	NA	NA	NA	NA	NA
1700016A09Rik	-0.497926425875992	0.0114422210591871	1	NA	NA	NA	NA	NA	NA	NA	NA
1700016K05Rik	0.552034087873314	0.0385654380124031	1	NA	NA	NA	NA	NA	NA	NA	NA
1700017G19Rik	0.552365346956465	0.0369138969538293	1	NA	NA	NA	NA	NA	NA	NA	NA
1700017L05Rik	0.956898510406963	0.00141392613443589	2	NA	NA	NA	NA	NA	NA	NA	NA
1700018B08Rik	0.522589388462407	0.0273702034823581	1	-0.00148632650116243	0.914512294099524	FALSE	-0.00248425727021831	0.56132481859426	FALSE	Other	Not DMR
1700019E08Rik	0.510021917697251	0.0430247522198811	8	NA	NA	NA	NA	NA	NA	NA	NA
1700019G24Rik	0.545967261583351	0.030582468816167	3	NA	NA	NA	NA	NA	NA	NA	NA
1700020G17Rik	0.442803416471095	0.0475752226753027	1	NA	NA	NA	NA	NA	NA	NA	NA
1700020L24Rik	-0.65584611307105	0.0176186602405686	1	0.00972296828506336	0.637176907639765	FALSE	-0.0260557925326198	0.0159062907930541	TRUE	Other	hmC DMR only
1700020M21Rik	0.445824806582552	0.0386612725255803	1	NA	NA	NA	NA	NA	NA	NA	NA
