category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Transport and catabolism	mmu04140	Autophagy - animal	104/2777	167/10692	0.622754491017964	2.39772813034356	10.7830478928968	2.86642485826762e-23	9.88916576102328e-21	5.21991053137155e-21	12421/12633/77040/66615/245860/16367/12043/23797/64930/70231/228361/22034/228545/80743/51897/269338/12048/18706/19338/56790/54673/18749/26409/52187/242557/73205/108079/74781/19744/72145/26414/22241/207565/77573/52440/13666/16438/97287/57436/19349/110157/16653/11652/67605/16001/26417/78610/73683/66922/12176/13033/16783/19053/18747/93739/384783/22186/235040/71732/26395/53331/11793/20869/26396/13144/56480/56418/19324/26420/19052/237782/17966/74370/74302/18412/29869/72508/75909/56208/353047/78943/52639/66840/15251/13665/217695/76559/218035/66795/18708/26419/100504663/105787/68118/26413/67474/67841/100502698/12211/18607/225326/67526/12015/19211	104
Cellular Processes	Transport and catabolism	mmu04144	Endocytosis	140/2777	270/10692	0.518518518518518	1.99639899171768	9.82225652089227	3.76341064944795e-20	6.49188337029771e-18	3.42668443344471e-18	76709/347722/67771/211673/98366/20479/74117/103967/20844/74192/16574/77038/22034/84092/75608/16396/58220/19334/228998/227700/13429/56324/98878/69178/18759/18720/22365/12340/54673/12757/72685/12345/140500/107568/230597/69780/100017/18762/213990/56433/19159/56443/320129/26431/12343/330319/66700/28006/73178/70527/52055/19349/232227/78287/13854/232910/16001/109689/11772/11771/22088/14183/70160/52348/56513/116733/19341/234353/13859/71955/234852/13430/16835/27965/69091/12402/18854/53869/56440/18571/54198/70432/18717/319277/67282/216238/66201/30930/17246/19344/54189/216963/71770/27681/68524/11841/15239/66713/11840/13855/67300/19345/66313/19157/211914/19325/72183/218038/74325/218441/223593/11842/11773/69150/208650/78618/68942/271457/68767/57440/16004/215445/19326/15042/20405/106572/30948/67804/83814/67064/17126/93737/16573/107305/107338/14773/110355/225861/18719/74998	140
Genetic Information Processing	Folding, sorting and degradation	mmu04141	Protein processing in endoplasmic reticulum	102/2777	178/10692	0.573033707865168	2.20629326773294	9.61281454804458	4.86249355978858e-19	5.59186759375687e-17	2.95161889769623e-17	56812/226418/66967/72265/213539/320011/12043/226641/12334/227619/14828/66861/14827/27054/386649/13002/57743/13418/22030/81910/69276/94232/66256/229801/66105/67437/17156/99683/66357/56228/15502/19359/13200/140499/269523/18786/230815/63958/50907/69162/26414/26965/13666/103963/192193/12304/53421/110379/109815/66245/17872/75744/81489/12317/56445/23802/56453/19089/12282/12955/16430/68292/26408/140740/20224/13198/216080/216197/22027/216440/26420/66397/67128/193670/66753/12330/77371/78943/217365/13665/217379/12033/20334/20338/110616/107513/56085/59007/218811/100037258/26419/66435/56438/223455/67819/50873/54197/56550/81500/70361/225896/270669	102
Genetic Information Processing	Folding, sorting and degradation	mmu04120	Ubiquitin mediated proteolysis	92/2777	156/10692	0.58974358974359	2.27062962244813	9.46923815062598	1.94046703272966e-18	1.67365281572934e-16	8.83423149111137e-17	67921/26374/66799/67923/26554/14897/99152/22193/22034/16396/17222/140629/50754/70093/229615/66105/56228/67615/140499/107568/66440/242521/63958/100763/52206/53323/56317/231380/231672/59008/26965/73998/22200/15204/22215/56459/50995/99375/69957/22186/109161/235439/69010/11797/50868/12402/140630/75717/18854/56469/19823/67345/93765/216080/11634/59004/56371/17246/67030/103583/67128/68729/66156/22210/268470/217232/66313/71991/105193/26401/22194/56438/106052/70790/17237/208650/22195/50873/66515/12211/22196/71745/56550/83814/17344/52563/13194/28000/12234/22201/22209/59026	92
Human Diseases	Neurodegenerative disease	mmu05017	Spinocerebellar ataxia	81/2777	141/10692	0.574468085106383	2.21181590419786	8.57967896818549	1.78722890175547e-15	1.23318794221127e-13	6.50927578955149e-14	12421/70247/23797/59029/228361/18798/22030/19177/51897/26444/18706/56543/19185/13131/26445/19181/19664/74781/19699/26414/22241/11938/16438/20422/71722/11652/16504/57296/26440/233871/12286/114896/22335/11739/19883/26408/14816/237336/215999/26420/22333/69077/26446/22123/19184/66997/29869/56208/78943/52639/14813/80913/26443/19167/19179/110616/76559/19166/18708/22334/67089/66413/26419/100504663/19173/14169/54138/68118/20683/21762/74143/14811/21374/19170/225326/69597/20743/14682/22359/226153/81601	81
Cellular Processes	Transport and catabolism	mmu04137	Mitophagy - animal	63/2777	100/10692	0.63	2.42562477493698	8.48375060284849	5.87195733264014e-15	3.37637546626808e-13	1.78219055885394e-13	245860/53375/228361/84092/12995/22030/12048/13555/67414/68350/269523/170731/100756/56715/66437/26414/72542/22241/231874/52440/13666/17342/94044/12034/57436/19349/16653/66922/12176/93739/22186/23802/13000/67952/72825/23806/56484/66687/56480/14479/19344/26420/59040/17966/18412/19345/56208/66313/15251/13665/382793/26419/12177/20683/74143/28185/50873/271457/214952/13001/19697/59026/72018	63
Human Diseases	Neurodegenerative disease	mmu05014	Amyotrophic lateral sclerosis	165/2777	376/10692	0.438829787234043	1.68958159348447	8.06297960807243	1.48181347809348e-14	7.30322357060356e-13	3.85494333398754e-13	12421/66495/70247/74018/227197/13869/67273/12043/226641/66052/226646/269254/74412/227699/14828/16574/59029/229279/59015/228361/20511/56488/22030/19177/51897/12048/26444/66046/94232/19055/66377/19185/11950/433702/26445/67680/12371/73205/53598/18391/269523/19059/230908/19181/74781/269113/22241/12861/107939/19353/70699/68198/13666/13191/20422/17992/68202/54563/110379/66108/68197/67003/233908/57296/110323/269966/26440/70316/233871/66916/12857/22152/234865/12858/66925/83961/12866/26408/19386/69736/66414/13198/103199/215999/66594/56480/19058/19324/22333/237782/26397/69077/26446/22123/19184/66997/26399/66152/18412/29869/18643/19069/56208/78943/52639/14813/21681/26443/56444/19167/13665/105000/19179/16593/76559/13411/19166/66694/218210/56085/407785/66945/17993/67089/66413/19056/18183/100504663/19173/170762/66218/68118/12864/67819/54152/67130/21762/20655/14811/68194/68942/50873/26416/78330/66416/271457/19170/74764/22153/72900/225027/20463/225326/17184/67665/72124/16573/100042150/12015/53319/17995/12460/12868/67264/54130	165
Human Diseases	Neurodegenerative disease	mmu05022	Pathways of neurodegeneration - multiple diseases	199/2777	481/10692	0.413721413721414	1.5929093826105	7.88130923647479	3.76288551246548e-14	1.62274437725074e-12	8.56551570600695e-13	12421/66495/14369/70247/74018/227197/67273/12043/226641/66052/226646/19165/12334/14828/16574/59029/228361/12064/19122/18798/12995/22030/19177/51897/12048/26444/67414/66046/67738/108058/19055/66377/19185/11950/18033/56228/26445/67680/12371/13542/140499/73205/53598/18391/269523/19059/170731/230908/57320/19181/15194/74781/26414/22241/12861/11938/19353/68198/13666/13191/16438/20422/17992/68202/109880/20617/110157/66108/16974/16653/50490/68197/67003/26417/233908/57296/110323/26440/70316/233871/66916/12857/22152/22335/11739/22186/13000/12858/66925/26395/12866/26408/26396/66414/13198/14816/103199/215999/66594/56480/19058/19324/26420/22333/237782/26397/13543/13385/67128/69077/26446/22123/19184/66997/12006/26399/66152/12323/18412/29869/56208/78943/52639/14813/26443/56444/19167/13665/19164/105000/19179/12313/16593/217695/110616/76559/13411/19166/66694/407785/66945/17993/22334/67089/66413/19056/12325/12289/26419/100504663/19173/14365/66218/66725/68118/12864/67819/54152/67130/26413/21762/56637/73916/20655/14811/22195/68194/68942/11820/50873/12005/26416/78330/66416/271457/19170/13001/74764/22153/72900/20463/12314/225326/11789/67665/93687/16573/20743/19697/12015/14682/14296/17995/12460/12868/212398/67264/54130/22201	199
Human Diseases	Neurodegenerative disease	mmu05010	Alzheimer disease	166/2777	389/10692	0.426735218508997	1.64301510849773	7.65219049988124	2.40747884352474e-13	9.22866890017817e-12	4.87127298163485e-12	12421/66495/14369/70247/227059/227197/16367/67273/226641/66052/226646/23797/19165/12334/16574/59029/228361/18798/12995/22030/19177/51897/26444/18706/66046/67738/30791/19055/66377/19185/11950/18033/26445/67680/12371/13542/19059/19181/74781/26414/22241/12861/11938/68198/13666/16438/20422/17992/68202/109880/20617/110157/66108/16974/16653/11652/50490/68197/67003/26417/57296/110323/11785/26440/70316/66916/12857/22152/16337/384783/22335/16150/11739/13000/23821/12858/11487/66925/26395/208117/12866/26408/26396/66414/13198/215999/66594/106947/16971/19058/26420/22333/13543/69077/26446/22123/19184/66997/12006/66152/29869/56208/78943/52639/14813/26443/19167/13665/328133/19164/19179/12313/16593/11491/76559/19166/66694/407785/66945/18708/17993/22334/67089/66413/19056/12289/26419/100504663/19173/14365/66218/68118/12864/67130/18174/26413/21762/56637/14811/68194/11820/12005/78330/66416/19170/14977/13001/74764/22153/72900/20463/12314/225326/11789/93687/16573/106957/19697/12015/14682/14296/17995/12868/212398/12675/67264	166
Genetic Information Processing	Translation	mmu03013	Nucleocytoplasmic transport	68/2777	119/10692	0.571428571428571	2.20011317454602	7.79773035060373	4.67897583954091e-13	1.61424666464161e-11	8.52066126569028e-12	22218/226432/226747/326622/74412/227699/59015/56488/110750/13628/97112/16649/433702/230673/16650/51796/67878/100042165/269113/107939/70699/434080/320938/54563/110379/233726/269966/74204/67031/212999/234733/234865/19386/20610/69736/78428/73192/107829/103573/192160/66011/19069/16211/170930/192170/21681/218210/73666/238799/76582/20220/70572/66231/56215/57258/16648/65246/170762/75826/68092/16646/53817/72322/22196/225160/56698/72124/53319	68
