from	to	weight	edge_type
Adam12	Dhx32	0.625802372293926	loop
Ccnh	Cetn3	0.50803923131079	loop
Ccnh	Mef2c	0.454853910788424	loop
Ccnh	Tmem161b	0.494349067207001	loop
Cdh7	Serpinb8	0.317597310423452	loop
Cdk6	Fam133b	0.817891350203598	loop
Chrm3	Zmynd11	1.01311171109921	loop
Cln8	Csmd1	0.794676913275492	loop
Cln8	Dlgap2	0.564881609870098	loop
Cnr1	Rngtt	0.407900527865251	loop
Col15a1	Tgfbr1	0.479875209847958	loop
Ggh	Nkain3	1.28734035539557	loop
Gm28401	Meis1	0.397922226690063	loop
Gm28703	Gm31409	1.08587365750228	loop
Gm28703	Zic4	0.370629783913097	loop
Igf2bp3	Vax2	1.12504897828188	loop
Kcnn2	Trim36	0.393678955322657	loop
Mecom	Rsrc1	0.700302472863938	loop
Mef2c	Tmem161b	0.587775891771127	loop
Mpdz	Nfib	0.569680714409841	loop
Nars2	Tenm4	0.537962529194775	loop
Nav3	Syt1	0.365149708431649	loop
Nrg3	Sh2d4b	0.747760355531914	loop
Nrp2	Pard3b	0.521015948509435	loop
Ostf1	Vps13a	0.838938214949579	loop
Pik3c3	Rit2	0.513502405322124	loop
Rit2	Syt4	0.492470365486045	loop
Rsrc1	Tbx15	0.850380542318386	loop
Shb	Slc25a51	0.466249096648616	loop
Tenm2	Wwc1	0.465288004966291	loop
1700112J16Rik	Gm29683	0.0294675	shared_enhancer
A230001M10Rik	Tbx15	0.044745	shared_enhancer
Adam12	Dhx32	0.060526	shared_enhancer
Ankrd37	Dctd	0.185104	shared_enhancer
Ccnh	Cetn3	0.146707	shared_enhancer
Ccnh	Mef2c	0.101731	shared_enhancer
Ccnh	Tmem161b	0.19280999999999998	shared_enhancer
Cdh7	Dsel	0.1088865	shared_enhancer
Cdh7	Serpinb8	0.440917	shared_enhancer
Cdk6	Fam133b	0.1331045	shared_enhancer
Cenpc1	Epha5	0.0426205	shared_enhancer
Cetn3	Mef2c	0.121453	shared_enhancer
Cetn3	Tmem161b	0.1830325	shared_enhancer
Chrm3	Zmynd11	0.056663000000000005	shared_enhancer
Cln8	Csmd1	1.401271	shared_enhancer
Cln8	Dlgap2	1.4223565	shared_enhancer
Cln8	Kbtbd11	0.37884650000000003	shared_enhancer
Cnr1	Rngtt	0.209887	shared_enhancer
Cntnap2	Tpk1	0.333686	shared_enhancer
Cntnap5a	Dsel	0.0227155	shared_enhancer
Col15a1	Tgfbr1	0.033015	shared_enhancer
Csmd1	Dlgap2	0.0314455	shared_enhancer
Csmd1	Kbtbd11	0.316323	shared_enhancer
Dgkb	Etv1	0.0764325	shared_enhancer
Gap43	Tigit	0.3040675	shared_enhancer
Ggh	Nkain3	0.044438000000000005	shared_enhancer
Gm28401	Meis1	1.2379805	shared_enhancer
Gm28703	Gm31409	0.4848445	shared_enhancer
Gm28703	Zic4	0.6121365	shared_enhancer
Gm31409	Zic4	0.742548	shared_enhancer
Gm45159	Tenm4	0.0160865	shared_enhancer
Grid1	Nrg3	0.0249775	shared_enhancer
Grid1	Sh2d4b	0.0327235	shared_enhancer
Gsdme	Igf2bp3	0.1866215	shared_enhancer
Idh1	Pard3b	0.039642	shared_enhancer
Kcnn2	Trim36	0.1030085	shared_enhancer
Mef2c	Tmem161b	0.136846	shared_enhancer
Mpdz	Nfib	0.1455455	shared_enhancer
Nars2	Tenm4	0.053225	shared_enhancer
Nrg3	Sh2d4b	0.0399215	shared_enhancer
Nrp2	Pard3b	0.055668499999999996	shared_enhancer
Ostf1	Vps13a	0.084667	shared_enhancer
Pik3c3	Rit2	0.1676745	shared_enhancer
Pik3c3	Syt4	0.195141	shared_enhancer
Rit2	Syt4	0.3983755	shared_enhancer
Rsrc1	Slitrk3	0.0191415	shared_enhancer
Shb	Slc25a51	0.6032044999999999	shared_enhancer
Tenm2	Wwc1	0.06465699999999999	shared_enhancer
